증권종류,회사명,종목코드,업종,주요제품,상장일,결산일,대표자명,홈페이지,지역
코스닥,에스피시스템스,317830,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2019-08-14,12월,심상균..,http://www.spsystems.co.kr,경상남도
코스닥,레이,228670,의료용 기기 제조업,의료용 기기 제조업,2019-08-08,12월,이상철,http://www.raymedical.co.kr/,경기도
코스닥,그린플러스,186230,1차 비철금속 제조업,1차 비철금속 제조업,2019-08-07,12월,박영환..,http://www.greenplus.co.kr,충청남도
코스닥,코윈테크,282880,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2019-08-05,12월,이재환..,http://www.cowintech.com,충청남도
코스닥,덕산테코피아,317330,기타 화학제품 제조업,기타 화학제품 제조업,2019-08-02,12월,이수완,http://dstp.co.kr,충청남도
코스닥,KBG,318000,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱 물질 제조업,2019-08-01,12월,부삼열,http://www.kbgtech.co.kr/,충청남도
코스닥,엑스페릭스,317770,전자부품 제조업,전자부품 제조업,2019-08-01,12월,윤상철,http://www.xperix.com,경기도
코스닥,세경하이테크,148150,전자부품 제조업,전자부품 제조업,2019-07-30,12월,이기승,http://www.sghitech.co.kr/,경기도
코스닥,캐리,313760,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2019-07-25,12월,김용선,http://www.willings.co.kr,경기도
코스닥,대모,317850,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2019-07-24,12월,이원해,http://www.daemo.co.kr,경기도
코스닥,에이스토리,241840,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화, 비디오물, 방송프로그램 제작 및 배급업",2019-07-19,12월,이상백,http://www.astory.co.kr,서울특별시
코스닥,플리토,300080,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2019-07-17,12월,이정수,http://www.flitto.com,서울특별시
코스닥,헥토파이낸셜,234340,기타 정보 서비스업,기타 정보 서비스업,2019-07-12,12월,최종원,http://hectofinancial.co.kr,서울특별시
코스닥,아이스크림에듀,289010,"서적, 잡지 및 기타 인쇄물 출판업","서적, 잡지 및 기타 인쇄물 출판업",2019-07-11,12월,박기석,http://www.i-screamedu.co.kr,서울특별시
코넥스,펨토바이오메드,327610,의료용 기기 제조업,의료용 기기 제조업,2019-07-10,12월,이상현..,http://www.femtobiomed.com,경기도
코스닥,펌텍코리아,251970,플라스틱제품 제조업,플라스틱제품 제조업,2019-07-04,12월,이재신..,http://www.pum-tech.co.kr,인천광역시
코스닥,에이에프더블류,312610,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2019-07-01,12월,김명훈,http://www.asanfw.com,경상북도
코스닥,태성,323280,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2019-06-24,12월,김종학,http://www.taesung2000.com,경기도
코스닥,압타바이오,293780,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2019-06-12,12월,이수진,http://www.aptabio.com,경기도
코스닥,형지글로벌,308100,"섬유, 의복, 신발 및 가죽제품 소매업","섬유, 의복, 신발 및 가죽제품 소매업",2019-06-10,12월,최준호,http://www.castelbajac.com,인천광역시
코스닥,마이크로디지탈,305090,의료용 기기 제조업,의료용 기기 제조업,2019-06-05,12월,김경남,http://www.md-best.com,경기도
코스닥,코퍼스코리아,322780,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화, 비디오물, 방송프로그램 제작 및 배급업",2019-05-31,12월,오영섭,없음,서울특별시
코스닥,프로이천,321260,반도체 제조업,반도체 제조업,2019-05-31,12월,임이빈,없음,경기도
유가증권,포스코퓨처엠,003670,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2019-05-29,12월,엄기천,http://www.poscofuturem.com,경상북도
코스닥,수젠텍,253840,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2019-05-28,12월,손미진,http://www.sugentech.com,대전광역시
코스닥,컴퍼니케이,307930,기타 금융업,기타 금융업,2019-05-23,12월,김학범,http://www.kpartners.co.kr,서울특별시
코스닥,피에스케이,319660,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2019-05-10,12월,이경일,http://www.pskinc.com,경기도
코스닥,현대무벡스,319400,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2019-05-08,12월,도익한,http://www.hyundaimovex.com/,서울특별시
코스닥,TS트릴리온,317240,기타 화학제품 제조업,기타 화학제품 제조업,2019-04-29,12월,김용채,http://www.tstrillion.co.kr,서울특별시
코넥스,이노벡스,279060,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2019-04-12,12월,채균,http://www.innovex.co.kr,경기도
코스닥,아모그린텍,125210,전자부품 제조업,전자부품 제조업,2019-03-29,12월,양성철..,http://amogreentech.co.kr,경기도
유가증권,현대오토에버,307950,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2019-03-28,12월,김윤구,http://www.hyundai-autoever.com,서울특별시
코스닥,지노믹트리,228760,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2019-03-27,12월,안성환,http://genomictree.com/ko/,대전광역시
코스닥,이지케어텍,099750,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2019-03-22,03월,홍우선,http://www.ezcaretech.com,서울특별시
코스닥,미래에셋벤처투자,100790,기타 금융업,기타 금융업,2019-03-15,12월,김응석,http://venture.miraeasset.co.kr,경기도
유가증권,드림텍,192650,전자부품 제조업,전자부품 제조업,2019-03-14,12월,김형민..,http://www.idreamtech.co.kr,경기도
유가증권,더블유게임즈,192080,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2019-03-12,12월,김가람,http://www.doubleugames.com,서울특별시
코스닥,에코프로비엠,247540,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2019-03-05,12월,각자 ..,http://www.ecoprobm.co.kr,충청북도
코스닥,셀리드,299660,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2019-02-20,12월,강창율,http://www.cellid.co.kr,서울특별시
유가증권,우리금융지주,316140,기타 금융업,기타 금융업,2019-02-13,12월,임종룡,http://www.woorifg.com/,서울특별시
코스닥,천보,278280,기초 화학물질 제조업,기초 화학물질 제조업,2019-02-11,12월,이상율,http://www.chunbochem.com/,충청북도
코스닥,SCL사이언스,246960,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2019-02-01,12월,이경률..,http://www.innotherapy.com,서울특별시
코스닥,노랑풍선,104620,여행사 및 기타 여행보조 서비스업,여행사 및 기타 여행보조 서비스업,2019-01-30,12월,김진국,http://www.ybtour.com,서울특별시
코스닥,웹케시,053580,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2019-01-25,12월,강원주,http://www.webcash.co.kr,서울특별시
코넥스,엘에이티,311060,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2018-12-28,12월,박강일,http://www.latplasma.com,경기도
유가증권,에어부산,298690,항공 여객 운송업,항공 여객 운송업,2018-12-27,12월,정병섭,http://www.airbusan.com,부산광역시
코스닥,비피도,238200,기타 식품 제조업,기타 식품 제조업,2018-12-26,12월,이원범..,http://bifido.com,강원특별자치도
코스닥,유틸렉스,263050,기초 의약물질 제조업,기초 의약물질 제조업,2018-12-24,12월,권병세..,http://www.eutilex.com,서울특별시
코스닥,디케이티,290550,전자부품 제조업,전자부품 제조업,2018-12-21,12월,이지열,http://www.dtktech.co.kr/,인천광역시
코스닥,아이엘,307180,전구 및 조명장치 제조업,전구 및 조명장치 제조업,2018-12-21,12월,송성근,http://il.co.kr,충청남도
코스닥,애니플러스,310200,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화, 비디오물, 방송프로그램 제작 및 배급업",2018-12-21,12월,전승택,http://www.aniplustv.com,서울특별시
코넥스,테크엔,308700,전구 및 조명장치 제조업,전구 및 조명장치 제조업,2018-12-21,12월,박철,http://www.techen.co.kr,대구광역시
코스닥,디와이씨,310870,자동차 신품 부품 제조업,자동차 신품 부품 제조업,2018-12-20,12월,김용덕..,http://dycauto.com,경상북도
코스닥,오하임앤컴퍼니,309930,기타 생활용품 소매업,기타 생활용품 소매업,2018-12-20,12월,조성환..,없음,서울특별시
코스닥,위지윅스튜디오,299900,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화, 비디오물, 방송프로그램 제작 및 배급업",2018-12-20,12월,조성완,http://www.wswgstudios.com,서울특별시
코스닥,국전약품,307750,의약품 제조업,의약품 제조업,2018-12-19,12월,홍종호,없음,경기도
코스닥,에이비엘바이오,298380,기초 의약물질 제조업,기초 의약물질 제조업,2018-12-19,12월,이상훈,http://www.ablbio.com,서울특별시
코스닥,머큐리,100590,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2018-12-14,12월,김종협..,없음,인천광역시
코스닥,전진바이오팜,110020,기타 화학제품 제조업,기타 화학제품 제조업,2018-12-14,12월,이태훈,http://www.jjbio.co.kr,대구광역시
