제목,저자,역자,글그림,그림,기획,감수,글,출판사,출간일,가격,평점,리뷰수,상세페이지링크
학교생활이 불안할 때 똑똑하게 돌파하는 법,이현아,,,,,,,한빛에듀,2025년 10월,15300,10.0,1,https://www.yes24.com/product/goods/154564313
내 마음이 지옥일 때 부처가 말했다,코이케 류노스케,,,,,,,웅진지식하우스,2025년 09월,16200,9.7,34,https://www.yes24.com/product/goods/154237633
긴긴밤,루리,,,,,,,문학동네,2021년 02월,11250,9.8,1621,https://www.yes24.com/product/goods/97255028
코스모스,칼 에드워드 세이건,,,,,,,사이언스북스,2006년 12월,19800,9.6,2161,https://www.yes24.com/product/goods/2312211
안녕이라 그랬어,김애란,,,,,,,문학동네,2025년 06월,15120,9.8,218,https://www.yes24.com/product/goods/147560984
오늘이 내일을 데려올 거야,에린 엔트라다 켈리,,,,,,,책읽는곰,2025년 09월,16200,10.0,23,https://www.yes24.com/product/goods/154092979
달러 이후의 질서,케네스 로고프,,,,,,,윌북(willbook),2025년 10월,26820,10.0,1,https://www.yes24.com/product/goods/159170518
제로 투 원 (10주년 기념판),"피터 틸, 블레이크 매스터스",,,,,,,한국경제신문사(한경비피),2025년 04월,16200,9.7,182,https://www.yes24.com/product/goods/103990890
썰그 코믹스 실기슈 1,썰푸는 그림쟁이툰,,,,,,댕이,책놀이터 ,2025년 10월,15120,10.0,1,https://www.yes24.com/product/goods/155032076
"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성,,,,,,,이투스북 ,2024년 12월,14850,9.7,187,https://www.yes24.com/product/goods/140199250
미술관 여행자를 위한 도슨트 북,카미유 주노,,,,,,,윌북(willbook),2025년 10월,29700,9.1,47,https://www.yes24.com/product/goods/153170791
한국의 미래,박석중,,,,,,,페이지2북스,2025년 09월,19800,9.6,46,https://www.yes24.com/product/goods/153255887
우리는 언제나 다시 만나,윤여림,,,,,,,위즈덤하우스,2017년 07월,10800,9.8,616,https://www.yes24.com/product/goods/43862350
2026 써니 행정법총론 기출문제집,박준철,,,,,,,제이씨에듀,2025년 09월,41400,9.9,62,https://www.yes24.com/product/goods/152961502
어른의 관계를 가꾸는 100일 필사 노트,김종원,,,,,,,청림Life,2025년 09월,18000,9.9,40,https://www.yes24.com/product/goods/151657789
블루 록 캐릭터북 EGOIST BIBLE 2,카네시로 무네유키,,,,,,노무라 유스케,학산문화사,2025년 10월,9900,0.0,0,https://www.yes24.com/product/goods/159498718
해커스 토익 기출 VOCA (보카),David Cho,,,,,,,해커스어학연구소,2024년 08월,11610,9.6,1156,https://www.yes24.com/product/goods/67362730
마남 이치 2 더블특전판,니시 오사무,,,,,,시로 우사자키,서울미디어코믹스(서울문화사),2025년 10월,6300,10.0,5,https://www.yes24.com/product/goods/158755036
저항의 멜랑콜리,크러스너호르커이 라슬로,,,,,,,알마,2019년 05월,19800,9.5,8,https://www.yes24.com/product/goods/73095851
체제전쟁 마스터플랜,이희천,,,,,,,대추나무,2025년 09월,14400,8.2,9,https://www.yes24.com/product/goods/154835295
머니: 인류의 역사,데이비드 맥윌리엄스,,,,,,,포텐업,2025년 09월,25920,9.7,28,https://www.yes24.com/product/goods/151844982
질문의 숲,김종원,,,,,,,포레스트북스,2025년 09월,16200,9.9,64,https://www.yes24.com/product/goods/153497124
체인소 맨 12,후지모토 타츠키,,,,,,,학산문화사,2023년 01월,5400,9.9,381,https://www.yes24.com/product/goods/117008738
스토너,존 윌리엄스,,,,,,,알에이치코리아(RHK),2015년 01월,15120,9.4,724,https://www.yes24.com/product/goods/15718330
"AI 시대의 질문력, 프롬프트 엔지니어링",류한석,,,,,,,코리아닷컴(Korea.com),2025년 08월,24300,9.8,26,https://www.yes24.com/product/goods/150566390
"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성,,,,,,,이투스북 ,2024년 12월,14400,9.7,142,https://www.yes24.com/product/goods/140199263
체인소 맨 6,후지모토 타츠키,,,,,,,학산문화사,2021년 05월,5400,9.9,296,https://www.yes24.com/product/goods/110328349
죽고 싶지만 떡볶이는 먹고 싶어,백세희,,,,,,,흔,2018년 06월,12420,7.9,734,https://www.yes24.com/product/goods/61779464
푸른 상자 20,코우지 미우라,,,,,,,학산문화사,2025년 10월,5400,0.0,0,https://www.yes24.com/product/goods/159499969
해커스 일본어 첫걸음 : 일본어 기초 20일 독학 완성!,해커스 일본어연구소,,,,,,,해커스어학연구소,2024년 05월,12510,9.6,313,https://www.yes24.com/product/goods/102502665
평범하지만 부자가 되고 싶어,"김종봉, 제갈현열",,,,,,,다산북스,2025년 10월,17100,10.0,8,https://www.yes24.com/product/goods/159167998
하루 한 장 나의 어휘력을 위한 필사 노트,유선경,,,,,,,위즈덤하우스,2024년 10월,21420,9.5,827,https://www.yes24.com/product/goods/125557465
급류,정대건,,,,,,,민음사,2022년 12월,12600,8.8,480,https://www.yes24.com/product/goods/116586303
실패를 통과하는 일,박소령,,,,,,,북스톤,2025년 09월,18000,9.6,18,https://www.yes24.com/product/goods/152313889
빅터 프랭클의 죽음의 수용소에서,빅터 프랭클,,,,,,,청아출판사,2020년 05월,8820,9.6,339,https://www.yes24.com/product/goods/90454414
너에게 들려주는 단단한 말,김종원,,,,,,,퍼스트펭귄,2024년 07월,16200,9.8,334,https://www.yes24.com/product/goods/128266166
채식주의자,한강,,,,,,,창비,2022년 03월,15300,9.1,1707,https://www.yes24.com/product/goods/108422348
체인소 맨 1부 박스 세트,후지모토 타츠키,,,,,,,학산문화사,2024년 12월,63000,10.0,22,https://www.yes24.com/product/goods/140231293
"AI 시대, 나는 무엇으로 빛날까",최영숙,,,,,,,미디어숲,2025년 10월,16920,10.0,1,https://www.yes24.com/product/goods/154646344
덕후의 글쓰기,미야케 카호,,,,,,,더페이지,2025년 11월,16020,0.0,0,https://www.yes24.com/product/goods/159255964
가공범,히가시노 게이고,,,,,,,북다,2025년 07월,19800,9.3,229,https://www.yes24.com/product/goods/149107353
자본주의,"EBS 〈자본주의〉제작팀, 정지은, 고희정",,,,,,,가나출판사,2013년 09월,19800,9.5,979,https://www.yes24.com/product/goods/11081680
단 3개의 미국 ETF로 은퇴하라,김지훈(포메뽀꼬),,,,,,,리더스북,2025년 03월,17820,9.6,91,https://www.yes24.com/product/goods/143876385
체인소 맨 19,후지모토 타츠키,,,,,,,학산문화사,2025년 03월,5400,9.7,156,https://www.yes24.com/product/goods/143513396
체인소 맨 16,후지모토 타츠키,,,,,,,학산문화사,2024년 05월,5400,9.8,170,https://www.yes24.com/product/goods/126437970
나는 소망한다 내게 금지된 것을,양귀자,,,,,,,쓰다,2019년 04월,13500,9.7,591,https://www.yes24.com/product/goods/72127217
서경석의 한국사 한 권,서경석,,,,,,,창비교육,2025년 07월,16920,9.9,77,https://www.yes24.com/product/goods/149120133
듀얼 브레인,이선 몰릭,,,,,,,상상스퀘어,2025년 03월,18900,8.7,176,https://www.yes24.com/product/goods/142876017
교양 한자 일력 365,김월회,,,,,,,포르체,2025년 10월,20700,10.0,3,https://www.yes24.com/product/goods/154287463
한 번 배워서 평생 써먹는 박곰희 투자법,박곰희,,,,,,,인플루엔셜,2020년 12월,15750,9.7,136,https://www.yes24.com/product/goods/95874103
꽃을 보듯 너를 본다,나태주,,,,,,,지혜,2015년 06월,11700,9.5,897,https://www.yes24.com/product/goods/24259730
100일 신문 100점 독해 : 국내편,뉴스쿨,,,,,,,미래엔아이세움,2025년 10월,17820,10.0,7,https://www.yes24.com/product/goods/154723587
체인소 맨 14,후지모토 타츠키,,,,,,,학산문화사,2023년 11월,5400,9.8,261,https://www.yes24.com/product/goods/123400327
체인소 맨 9,후지모토 타츠키,,,,,,,학산문화사,2021년 12월,5400,9.9,252,https://www.yes24.com/product/goods/110692548
기획의 감각,정병기,,,,,,,21세기북스,2025년 10월,17010,10.0,2,https://www.yes24.com/product/goods/158945176
단 한 번의 삶,김영하,,,,,,,복복서가,2025년 04월,15120,9.1,349,https://www.yes24.com/product/goods/144021119
달리기를 말할 때 내가 하고 싶은 이야기,무라카미 하루키,,,,,,,문학사상,2009년 01월,13050,9.3,418,https://www.yes24.com/product/goods/3239082
무인역에서 널 기다리고 있어,이누준,,,,,,,알토북스,2025년 11월,16020,0.0,0,https://www.yes24.com/product/goods/159192044
체인소 맨 13,후지모토 타츠키,,,,,,,학산문화사,2023년 04월,5400,9.9,366,https://www.yes24.com/product/goods/118470231
세이노의 가르침,세이노(SayNo),,,,,,,데이원,2023년 03월,6480,9.0,2784,https://www.yes24.com/product/goods/117014613
데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),데일 카네기,,,,,,,현대지성,2019년 10월,10350,9.6,1322,https://www.yes24.com/product/goods/79297023
Go Go 카카오프렌즈 자연탐사 13 아타카마 사막,조주희,,,,,,,아울북,2025년 10월,15210,10.0,2,https://www.yes24.com/product/goods/159167137
체인소 맨 17,후지모토 타츠키,,,,,,,학산문화사,2024년 08월,5400,9.8,230,https://www.yes24.com/product/goods/130034199
체인소 맨 18,후지모토 타츠키,,,,,,,학산문화사,2024년 12월,5400,9.6,167,https://www.yes24.com/product/goods/140125658
작별하지 않는다,한강,,,,,,,문학동네,2021년 09월,15120,9.6,2420,https://www.yes24.com/product/goods/103495056
