제목,저자,역자,글그림,그림,기획,감수,글,출판사,출간일,가격,평점,리뷰수,상세페이지링크
이병한의 아메리카 탐문,이병한,,,,,,,서해문집,2025년 06월,16650,8.7,12,https://www.yes24.com/product/goods/147625638
데일 카네기 자기관리론,데일 카네기,,,,,,,현대지성,2021년 01월,10350,9.7,695,https://www.yes24.com/product/goods/96794060
순례 주택,유은실,,,,,,,비룡소,2021년 03월,13500,9.6,406,https://www.yes24.com/product/goods/97963475
"큰 뜻을 품은 자여, 왜 그 자리에 머물러 있는가",정약용,,,,,,,모티브,2025년 06월,16020,9.8,104,https://www.yes24.com/product/goods/147814672
나는 오늘도 공간을 판다,김진옥,,,,,,,모티브,2025년 10월,17820,9.9,15,https://www.yes24.com/product/goods/155059355
오아시스 ROLL WITH IT,톰 시언,,,,,,,글의온도,2025년 10월,31500,10.0,1,https://www.yes24.com/product/goods/154571612
니체 인생수업 : 니체가 세상에 남긴 66가지 인생지혜 (리커버 에디션),프리드리히 니체,,,,,,,하이스트,2024년 02월,15750,9.3,55,https://www.yes24.com/product/goods/125617545
친절한 땅콩 호텔,임고을,,,,,,,문학동네,2025년 10월,10800,10.0,8,https://www.yes24.com/product/goods/155310089
2026 문동균 한국사 한 권으로 모든 것을 정리하는 판서노트,문동균,,,,,,,에스티유니타스,2025년 06월,15300,9.9,97,https://www.yes24.com/product/goods/147311396
"안녕, 에리",후지모토 타츠키,,,,,,,학산문화사,2023년 08월,5400,9.8,380,https://www.yes24.com/product/goods/121949020
미술관에 간 할미,할미,,,,,,,더퀘스트,2025년 06월,18900,9.7,72,https://www.yes24.com/product/goods/147275066
고전이 답했다 마땅히 가져야 할 부에 대하여,고명환,,,,,,,라곰,2025년 07월,16020,9.7,251,https://www.yes24.com/product/goods/147730182
마흔에 읽는 쇼펜하우어,강용수,,,,,,,유노북스,2023년 09월,15300,8.7,819,https://www.yes24.com/product/goods/122120495
처음 만나는 양자의 세계,채은미,,,,,,,북플레저,2025년 09월,17100,9.6,55,https://www.yes24.com/product/goods/153908443
임신 출산 육아 대백과 최신개정판,편집부,,,,,,,삼성출판사,2025년 07월,17550,10.0,3,https://www.yes24.com/product/goods/150161165
스테이블코인 전쟁 2026년 경제전망,김광석,,,,,,,이든하우스,2025년 09월,18000,10.0,7,https://www.yes24.com/product/goods/152577197
왜 그들만 부자가 되는가,"필립 바구스, 안드레아스 마르크바르트",,,,,,,북모먼트,2025년 01월,19800,9.2,183,https://www.yes24.com/product/goods/140537260
마흔의 기술,이호선,,,,,,,오아시스,2025년 10월,16200,9.8,39,https://www.yes24.com/product/goods/154823148
그래서 이런 지명이 생겼대요,우리누리,,,,,,,길벗스쿨,2025년 09월,13500,10.0,40,https://www.yes24.com/product/goods/154253856
최소한의 한국사 (20만 부 기념 광복에디션),최태성,,,,,,,프런트페이지,2023년 06월,16200,9.8,724,https://www.yes24.com/product/goods/119458052
인간 실격,다자이 오사무,,,,,,,민음사,2004년 05월,8100,9.1,1040,https://www.yes24.com/product/goods/1387488
ETS 토익 단기공략 750+ (LC+RC),ETS,,,,,,,YBM(와이비엠),2025년 07월,17550,9.8,22,https://www.yes24.com/product/goods/148193221
브람스를 좋아하세요...,프랑수아즈 사강,,,,,,,민음사,2008년 05월,9000,9.1,832,https://www.yes24.com/product/goods/2950700
전설로 떠나는 월가의 영웅,"피터 린치, 존 로스차일드",,,,,,,국일증권경제연구소,2021년 07월,23400,9.7,315,https://www.yes24.com/product/goods/102951831
클래식을 읽는 시간,김지현,,,,,,,더퀘스트,2025년 10월,18900,10.0,19,https://www.yes24.com/product/goods/154362585
죽이고 싶은 아이 2,이꽃님,,,,,,,우리학교,2024년 07월,12600,9.7,234,https://www.yes24.com/product/goods/128133897
세계를 건너 너에게 갈게,이꽃님,,,,,,,문학동네,2018년 02월,12150,9.6,616,https://www.yes24.com/product/goods/58552371
노르웨이의 숲,무라카미 하루키,,,,,,,민음사,2017년 08월,15300,9.2,616,https://www.yes24.com/product/goods/44499829
어른의 품위,최서영,,,,,,,북로망스,2025년 10월,17550,10.0,2,https://www.yes24.com/product/goods/154354904
상급지 환승의 기술,흥샘(서흥주),,,,,,,다산북스,2025년 09월,19800,10.0,27,https://www.yes24.com/product/goods/154340358
반짝반짝 한국 미술사 그림책,안승희,,,,,,,한권의책,2025년 09월,19800,9.5,4,https://www.yes24.com/product/goods/153824436
언제나 기억해,찰리 맥커시,,,,,,,상상의힘,2025년 10월,19800,0.0,0,https://www.yes24.com/product/goods/155303212
카구라바치 7 더블특전판,호카조노 타케루,,,,,,,대원,2025년 09월,5850,10.0,52,https://www.yes24.com/product/goods/154338783
[예스리커버] 길 위의 뇌,정세희,,,,,,,한스미디어,2024년 10월,17550,9.8,74,https://www.yes24.com/product/goods/134878586
공포의 편도선,에런 레이놀즈,,,,,,,토토북,2025년 09월,13500,10.0,49,https://www.yes24.com/product/goods/151657800
한국 교회 트렌드 2026,"지용근,김선일,조성실,김종일,조성돈,김영수,정재영,김수영,김은정,허준,문창선",,,,,,,규장,2025년 09월,19800,8.0,1,https://www.yes24.com/product/goods/154353062
"어서 와, 중등 비문학은 처음이지? 하",배혜림,,,,,,,데이스타,2025년 09월,16200,10.0,8,https://www.yes24.com/product/goods/153041470
죔레가 사라지다,크러스너호르커이 라슬로,,,,,,,은행나무,2026년 02월,16200,7.3,3,https://www.yes24.com/product/goods/159400797
2026 선재국어 신유형 매일 국어 시즌 2,"이선재, 선재국어연구소",,,,,,,수비니겨,2025년 09월,15300,10.0,8,https://www.yes24.com/product/goods/154188426
귀멸의 칼날 22,고토게 코요하루,,,,,,,학산문화사,2021년 01월,5400,9.8,49,https://www.yes24.com/product/goods/110365468
후지모토 타츠키 단편집 17-21,후지모토 타츠키,,,,,,,학산문화사,2023년 01월,5400,9.7,83,https://www.yes24.com/product/goods/117009016
부자 아빠 가난한 아빠 20주년 특별 기념판,로버트 기요사키,,,,,,,민음인,2018년 02월,15300,9.6,1872,https://www.yes24.com/product/goods/58774995
제철 행복 (사계절 리미티드 에디션),김신지,,,,,,,인플루엔셜,2024년 04월,16020,9.9,141,https://www.yes24.com/product/goods/126120766
산만한 아이를 위한 본질육아,지나영,,,,,,,21세기북스,2025년 10월,19800,0.0,0,https://www.yes24.com/product/goods/159113288
구의 증명,최진영,,,,,,,은행나무,2023년 04월,10800,9.0,885,https://www.yes24.com/product/goods/118578901
주식투자 무작정 따라하기,윤재수,,,,,,,길벗,2023년 01월,20700,9.7,95,https://www.yes24.com/product/goods/117024911
귀멸의 칼날 21,고토게 코요하루,,,,,,,학산문화사,2020년 11월,5400,9.9,39,https://www.yes24.com/product/goods/110365463
단추 전쟁,앤드루 클레먼츠,,,,,,,책과콩나무,2020년 04월,10800,9.8,21,https://www.yes24.com/product/goods/90074720
뉴욕 양말 탐정단,샤넬 밀러,,,,,,,보물창고,2025년 06월,15120,9.9,21,https://www.yes24.com/product/goods/147055754
초판본 데미안,헤르만 헤세,,,,,,,더스토리,2020년 08월,1980,9.6,167,https://www.yes24.com/product/goods/91909794
타키 포오 코믹 어드벤처 9,캐릭온TV,,,,,,안도감,대원씨아이(단행)(대원키즈),2025년 09월,14220,9.3,6,https://www.yes24.com/product/goods/154340367
시든 꽃에 눈물을 3~4 세트,개,,,,,,,네이버웹툰유한회사 ,2025년 10월,28800,10.0,13,https://www.yes24.com/product/goods/152644913
달러 자산 1억으로 평생 월급 완성하라 (2026 투자 전략 특별판),채부심(채상욱),,,,,,,몽스북 ,2025년 08월,18900,9.6,32,https://www.yes24.com/product/goods/151041569
후지모토 타츠키 단편집 22-26,후지모토 타츠키,,,,,,,학산문화사,2023년 01월,5400,9.8,106,https://www.yes24.com/product/goods/117009044
나는 삶이 답답할 때 부처를 읽는다,우뤄취안,,,,,,,알토북스,2025년 10월,16920,10.0,24,https://www.yes24.com/product/goods/154291937
이처럼 사소한 것들,클레어 키건,,,,,,,다산책방,2023년 11월,12420,9.4,833,https://www.yes24.com/product/goods/123400303
멜로우TV 스타! 과학 기자단 1 (친필 사인 렌티큘러 카드 한정판),멜로우 TV,,,,,,한바리,학산문화사(단행본),2025년 10월,15120,0.0,0,https://www.yes24.com/product/goods/159325349
죽이고 싶은 아이,이꽃님,,,,,,,우리학교,2021년 06월,11250,9.5,1008,https://www.yes24.com/product/goods/101864763
28시간에 끝내는 토익스피킹 스타트,"황인기, 시원스쿨어학연구소",,,,,,,시원스쿨닷컴,2025년 03월,16110,9.6,344,https://www.yes24.com/product/goods/29083333
여덟 단어,박웅현,,,,,,,인티앤,2023년 06월,15300,9.8,98,https://www.yes24.com/product/goods/119410542
다크 심리학 : 심리 조종의 기술,다크 인사이트,,,,,,,다크 인사이트 스튜디오,2025년 09월,17820,9.8,10,https://www.yes24.com/product/goods/154094978
백년허리2 치료편,정선근,,,,,,,언탱글링,2021년 05월,16650,9.7,242,https://www.yes24.com/product/goods/101624325
무의식의 뇌과학,엘리에저 J. 스턴버그,,,,,,,다산초당,2025년 09월,22500,9.9,28,https://www.yes24.com/product/goods/152446958
1%를 읽는 힘,메르,,,,,,,토네이도,2023년 08월,19800,9.5,461,https://www.yes24.com/product/goods/121812955
각자도생의 세계와 지정학,피터 자이한,,,,,,,김앤김북스,2021년 02월,17100,8.8,34,https://www.yes24.com/product/goods/97247707
삐뽀삐뽀 119 이유식,하정훈,,,,,,,유니책방,2017년 12월,17010,9.7,165,https://www.yes24.com/product/goods/57468926
2026 심슨 문법 300제,심우철,,,,,,,심슨북스,2025년 09월,14400,10.0,20,https://www.yes24.com/product/goods/152949260
시계토끼 기본 토익스피킹,시계토끼제니쌤,,,,,,,시계토끼,2024년 09월,23400,9.9,54,https://www.yes24.com/product/goods/134607839
동사×전치사 도감,권은희,,,,,,,길벗이지톡,2024년 08월,17820,9.3,121,https://www.yes24.com/product/goods/128829030
귀멸의 칼날 19,고토게 코요하루,,,,,,,학산문화사,2020년 07월,5400,9.8,378,https://www.yes24.com/product/goods/91201840
생각에 관한 생각,대니얼 카너먼,,,,,,,김영사,2018년 03월,26820,9.3,365,https://www.yes24.com/product/goods/59580017
부동산 트렌드 2026,"김경민, 정재훈, 김규석, 이소영, 이영민",,,,,,,와이즈맵,2025년 09월,21600,8.9,16,https://www.yes24.com/product/goods/153915843
홍학의 자리,정해연,,,,,,,엘릭시르,2021년 07월,12600,9.3,1039,https://www.yes24.com/product/goods/102791425
[예스단독] 데이비드 매콜리 건축 이야기 50주년 기념 한정판 세트,데이비드 매콜리,,,,,,,다산어린이,2025년 10월,171900,0.0,0,https://www.yes24.com/product/goods/154713414
2026 선재국어 예상 기출서,"이선재, 선재국어연구소",,,,,,,수비니겨,2025년 09월,18900,9.9,46,https://www.yes24.com/product/goods/152489644
미치도록 보고 싶었던 돈의 얼굴,"EBS 돈의 얼굴 제작진, 조현영",,,,,,,영진닷컴,2025년 07월,18000,9.8,77,https://www.yes24.com/product/goods/147984320
달러는 왜 비트코인을 싫어하는가,사이페딘 아모스,,,,,,,터닝포인트,2018년 12월,15300,9.2,87,https://www.yes24.com/product/goods/66815979
나는 내가 고장 난 줄 알았다,메러디스 카더,,,,,,,수오서재,2025년 09월,16200,10.0,2,https://www.yes24.com/product/goods/154290151
물리박사 김상욱의 수상한 연구실 8,김하연,,,,,,,아울북,2025년 09월,15210,10.0,3,https://www.yes24.com/product/goods/154634699
속담 관용어 고사성어 천재라면,"서재인, 박정란",,,,,,,슈크림북,2025년 09월,13950,10.0,37,https://www.yes24.com/product/goods/151290783
뇌가 멈추기 전에,이승훈,,,,,,,21세기북스,2025년 07월,17910,9.8,48,https://www.yes24.com/product/goods/148369373
연희동 러너,임지형,,,,,,,상상스퀘어,2025년 09월,17820,9.4,18,https://www.yes24.com/product/goods/152075953
소년과 두더지와 여우와 말,찰리 맥커시,,,,,,,상상의힘,2020년 04월,16200,9.7,225,https://www.yes24.com/product/goods/89898969
주술회전 30 일반판,아쿠타미 게게,,,,,,,서울미디어코믹스(서울문화사),2025년 08월,5400,0.0,0,https://www.yes24.com/product/goods/154236071
2026 이동기 영어 실전 문법 300제 + 핵심문법 50포인트 요약노트,(주)이앤미래(이동기),,,,,,,에스티유니타스,2025년 08월,19800,9.5,25,https://www.yes24.com/product/goods/152013612
팔란티어 시대가 온다,변우철,,,,,,,한국경제신문,2025년 09월,20700,9.7,14,https://www.yes24.com/product/goods/151698948
궤도,서맨사 하비,,,,,,,서해문집,2025년 06월,15300,9.1,83,https://www.yes24.com/product/goods/147563743
사는 동안 틈틈이 행복합시다,박근호,,,,,,,히읏,2025년 05월,16020,10.0,3,https://www.yes24.com/product/goods/146518136
정의란 무엇인가,마이클 샌델,,,,,,,와이즈베리,2014년 11월,16200,9.5,898,https://www.yes24.com/product/goods/15156691
우리는 다르게 팝니다,정김경숙(로이스 김),,,,,,,더퀘스트,2025년 09월,18900,9.9,26,https://www.yes24.com/product/goods/153500185
시간 고양이 7,박미연,,,,,,,이지북,2025년 10월,13500,9.9,40,https://www.yes24.com/product/goods/152843198
과학산문,"김상욱, 심채경",,,,,,,복복서가,2025년 09월,16200,10.0,10,https://www.yes24.com/product/goods/152444213
초역 부처의 말 필사집,코이케 류노스케,,,,,,,포레스트북스,2025년 03월,19800,9.9,34,https://www.yes24.com/product/goods/143527379
김재우의 기초 영어회화 100,김재우,,,,,,,상상스퀘어,2024년 12월,17010,9.7,88,https://www.yes24.com/product/goods/139853780
[예스리커버] 고전이 답했다 마땅히 살아야 할 삶에 대하여,고명환,,,,,,,라곰,2024년 08월,15120,9.4,524,https://www.yes24.com/product/goods/131930939
귀멸의 칼날 20,고토게 코요하루,,,,,,,학산문화사,2020년 09월,5400,9.8,356,https://www.yes24.com/product/goods/93223466
죽고 싶지만 떡볶이는 먹고 싶어 2,백세희,,,,,,,흔,2019년 05월,12420,8.7,51,https://www.yes24.com/product/goods/72339717
최소한의 은퇴공부,단희쌤(이의상),,,,,,,매일경제신문사,2025년 10월,17100,9.8,26,https://www.yes24.com/product/goods/155065997
흔한남매 19,흔한남매,,,,,,백난도,미래엔아이세움,2025년 04월,14220,9.9,205,https://www.yes24.com/product/goods/144996089
파과 (리커버),구병모,,,,,,,위즈덤하우스,2018년 04월,14220,9.3,826,https://www.yes24.com/product/goods/125761518
시골의사 복음,시골의사,,,,,,,규장,2025년 10월,13500,10.0,4,https://www.yes24.com/product/goods/155063121
설레는 이에겐 모든 날이 봄입니다,오평선,,,,,,,포레스트북스,2025년 09월,15120,10.0,11,https://www.yes24.com/product/goods/154364283
더 트릭컬,"폴빠, Aka, Loar",,,,,,,대원,2025년 09월,19800,10.0,10,https://www.yes24.com/product/goods/154340616
2026 선재국어 신유형 매일 국어 시즌 1,"이선재, 선재국어연구소",,,,,,,수비니겨,2025년 08월,15300,9.7,59,https://www.yes24.com/product/goods/149680039
착! 붙는 일본어 독학 첫걸음,일본어 공부기술연구소,,,,,,,시사일본어사,2024년 03월,15120,9.8,142,https://www.yes24.com/product/goods/125402874
희랍어 시간,한강,,,,,,,문학동네,2011년 11월,11700,9.5,876,https://www.yes24.com/product/goods/5926713
이게 되네? 제미나이 노트북LM 미친 활용법 51제,오힘찬,,,,,,,골든래빗,2025년 07월,21600,9.5,29,https://www.yes24.com/product/goods/148333977
미국주식 처음공부,"수미숨(상의민), 애나정",,,,,,,이레미디어,2024년 02월,19800,9.7,109,https://www.yes24.com/product/goods/124491741
백년허리1 진단편,정선근,,,,,,,언탱글링,2021년 04월,16650,9.7,163,https://www.yes24.com/product/goods/99360153
귀멸의 칼날 박스세트,고토게 코요하루,,,,,,,학산문화사,2022년 11월,124200,7.7,31,https://www.yes24.com/product/goods/115181161
낙엽 스낵,백유연,,,,,,,웅진주니어,2019년 10월,12600,9.8,51,https://www.yes24.com/product/goods/80470176
별에게,안녕달,,,,,,,창비,2025년 03월,15120,9.9,174,https://www.yes24.com/product/goods/144164150
ETS 토익기출 파트별 VOCA 보카,ETS,,,,,,,YBM(와이비엠),2022년 12월,11700,9.7,239,https://www.yes24.com/product/goods/116467955
내 맘대로 편의점,김영진,,,,,,,책읽는곰,2025년 09월,13500,9.9,31,https://www.yes24.com/product/goods/152933981
워런 버핏 바이블 완결판,워런 버핏,,,,,,,에프엔미디어,2025년 08월,34200,9.8,28,https://www.yes24.com/product/goods/151390079
왜의 쓸모,찰스 틸리,,,,,,,유유,2025년 08월,19800,8.0,5,https://www.yes24.com/product/goods/149768973
한화 이글스 불꽃의 시즌,조은혜,,,,,,,브레인스토어(BRAINstore),2025년 10월,18000,10.0,6,https://www.yes24.com/product/goods/153908098
귀멸의 칼날 공식 팬북 귀살대 견문록 2,고토게 코요하루,,,,,,,학산문화사,2022년 08월,8550,9.8,133,https://www.yes24.com/product/goods/112229901
진짜 쓰는 실무 엑셀,전진권,,,,,,,제이펍,2022년 02월,18900,9.8,366,https://www.yes24.com/product/goods/106711883
영어가 바로 터지는 기적의 말하기 영단어 1000,이시원,,,,,,,시원스쿨닷컴,2025년 04월,8100,9.8,56,https://www.yes24.com/product/goods/145983681
더 놀고 싶은 걸 어떡해!,"지니 킴, 한진아",,,,,,,길벗스쿨,2025년 05월,15300,10.0,49,https://www.yes24.com/product/goods/145099858
기억 전달자,로이스 라우리,,,,,,,비룡소,2024년 03월,14400,9.9,56,https://www.yes24.com/product/goods/125707989
Again! 뒤집어본 영문법,오성호,,,,,,,김영사,2006년 05월,13410,9.3,66,https://www.yes24.com/product/goods/2104859
질서 없음,헬렌 톰슨,,,,,,,윌북(willbook),2025년 10월,26820,9.3,16,https://www.yes24.com/product/goods/154825324
애플 인 차이나,패트릭 맥기,,,,,,,인플루엔셜,2025년 09월,28800,9.8,44,https://www.yes24.com/product/goods/154238075
쇼펜하우어 서재에서 훔친 인생지혜 77선,김철,,,,,,,히읏,2025년 08월,15210,10.0,1,https://www.yes24.com/product/goods/151887526
스위치온 다이어트 레시피북,"박용우, 김영아",,,,,,,루미너스,2025년 05월,20700,10.0,42,https://www.yes24.com/product/goods/146273598
귀멸 학원! 1,고토게 코요하루,,,,,,호카미 나츠키,학산문화사,2022년 09월,5400,9.9,133,https://www.yes24.com/product/goods/113477421
물고기는 존재하지 않는다,룰루 밀러,,,,,,,곰출판,2021년 12월,15300,9.0,1651,https://www.yes24.com/product/goods/105526047
히카루가 죽은 여름 7,모쿠모쿠렌,,,,,,,디앤씨미디어(D&C미디어),2025년 10월,5850,0.0,0,https://www.yes24.com/product/goods/155060325
투자 디톡스 + 필사노트 세트,문홍철,,,,,,,연합인포맥스,2025년 09월,26550,8.5,4,https://www.yes24.com/product/goods/153754938
2026 써니 행정법총론 기본서,박준철,,,,,,,제이씨에듀,2025년 07월,38700,9.8,88,https://www.yes24.com/product/goods/148704276
아몬드 (청소년판),손원평,,,,,,,다즐링,2023년 07월,15120,9.6,154,https://www.yes24.com/product/goods/119700269
영어로 문장 만들기 훈련 1차 임계점,유은하,,,,,,,사람in,2024년 07월,19800,9.5,146,https://www.yes24.com/product/goods/128911318
5번 레인,은소홀,,,,,,,문학동네,2020년 09월,12600,9.7,391,https://www.yes24.com/product/goods/92578889
사랑의 기술,에리히 프롬,,,,,,,문예출판사,2019년 09월,15300,9.4,486,https://www.yes24.com/product/goods/77728036
2026 고시넷 부산광역시교육청 교육공무직원 소양평가 최신기출유형모의고사 9회,고시넷 NCS 연구소,,,,,,,고시넷,2025년 07월,23400,10.0,2,https://www.yes24.com/product/goods/147339453
2025 시대에듀 한국실용글쓰기 실제 기출로 끝내기,"이원근, 김슬옹",,,,,,,시대고시기획 시대교육,2025년 04월,18000,9.7,59,https://www.yes24.com/product/goods/142873046
불변의 법칙,모건 하우절,,,,,,,서삼독,2024년 02월,22500,9.5,726,https://www.yes24.com/product/goods/124999476
어린 왕자 오리지널 초판본,앙투안 드 생텍쥐페리,,,,,,,코너스톤(도서),2020년 09월,2880,9.8,360,https://www.yes24.com/product/goods/93082287
마음을 움직이는 단 하나의 질문,이수경,,,,,,,지니의서재,2025년 10월,16920,9.9,25,https://www.yes24.com/product/goods/154641772
없어질 행성에서 씁니다,신진용,,,,,,,문학동네,2025년 09월,10800,0.0,0,https://www.yes24.com/product/goods/154639005
행동은 불안을 이긴다,롭 다이얼,,,,,,,서삼독,2025년 04월,18000,9.5,62,https://www.yes24.com/product/goods/144868899
그릿 GRIT,김주환,,,,,,,인플루엔셜,2025년 02월,16920,9.6,84,https://www.yes24.com/product/goods/142805048
"첫 여름, 완주",김금희,,,,,,,무제,2025년 05월,15300,9.5,340,https://www.yes24.com/product/goods/145567095
언제나 다정 죽집,우신영,,,,,,,비룡소,2024년 08월,13500,9.7,87,https://www.yes24.com/product/goods/132754223
환율의 대전환,오건영,,,,,,,포레스트북스,2025년 02월,24300,9.7,146,https://www.yes24.com/product/goods/142605459
하반기 한국전력공사 KEPCO NCS+전공 봉투모의고사 6+5회,해커스 NCS 취업교육연구소,,,,,,,해커스공기업,2024년 07월,21600,9.8,25,https://www.yes24.com/product/goods/128711566
귀멸의 칼날 18,고토게 코요하루,,,,,,,학산문화사,2020년 05월,5400,9.7,55,https://www.yes24.com/product/goods/110510045
월든,헨리 데이비드 소로우,,,,,,,민음사,2021년 11월,12600,9.3,24,https://www.yes24.com/product/goods/105164060
귀멸의 칼날 공식 팬북 귀살대 견문록,고토게 코요하루,,,,,,,학산문화사,2020년 09월,8550,9.8,195,https://www.yes24.com/product/goods/93224388
죽고 싶지만 떡볶이는 먹고 싶어 (합본),백세희,,,,,,,흔,2020년 09월,19800,8.8,8,https://www.yes24.com/product/goods/93068502
천 개의 파랑,천선란,,,,,,,허블,2020년 08월,15300,9.5,1180,https://www.yes24.com/product/goods/91766653
내 모든 것,오정미,,,,,,,무제,2025년 09월,18900,9.7,12,https://www.yes24.com/product/goods/154844174
해리 포터와 불의 잔 : 인터랙티브 에디션,J.K. 롤링,,,,,,,문학수첩,2025년 10월,49500,10.0,2,https://www.yes24.com/product/goods/154822078
2026 해커스경찰 갓대환 형사법 기출총정리 세트,김대환,,,,,,,해커스경찰,2025년 09월,85500,10.0,27,https://www.yes24.com/product/goods/153648574
외계인 자서전,마리-헐린 버티노,,,,,,,은행나무,2025년 07월,17100,10.0,18,https://www.yes24.com/product/goods/149239252
귀멸 학원! 2,고토게 코요하루,,,,,,호카미 나츠키,학산문화사,2022년 11월,5400,9.9,79,https://www.yes24.com/product/goods/115181154
홍길동전_춤추는 소매 바람을 따라 휘날리니,류수열,,,,,,,나라말,2012년 03월,9900,9.6,48,https://www.yes24.com/product/goods/6651422
삼국지 인생 공부,김태현,,,,,,,PASCAL,2025년 10월,17550,9.8,25,https://www.yes24.com/product/goods/155059161
원피스 ONE PIECE 111,오다 에이이치로,,,,,,,대원,2025년 06월,5400,9.8,229,https://www.yes24.com/product/goods/147789038
세컨더리 마인드,"황현희, 제갈현열",,,,,,,다산북스,2024년 09월,17100,9.4,19,https://www.yes24.com/product/goods/133199485
내면소통,김주환,,,,,,,인플루엔셜,2023년 02월,29700,9.6,402,https://www.yes24.com/product/goods/117643865
참을 수 없는 존재의 가벼움,밀란 쿤데라,,,,,,,민음사,2018년 06월,15300,9.5,590,https://www.yes24.com/product/goods/61933303
사이버 내란 : 댓글 전쟁,황희두,,,,,,,시월,2025년 09월,18000,8.8,18,https://www.yes24.com/product/goods/153131545
키메라의 땅 1,베르나르 베르베르,,,,,,,열린책들,2025년 08월,16020,9.6,102,https://www.yes24.com/product/goods/151037915
좋은 사람 도감,"묘엔 스구루, 사사키 히나, 마나코 지에미",,,,,,,서교책방,2025년 01월,15120,9.8,55,https://www.yes24.com/product/goods/141267438
하굣길에 좀비를 만났다?,G.B.,,,,,,,웅진주니어,2025년 09월,12600,9.9,19,https://www.yes24.com/product/goods/153066403
매거진 조이 Vol.2 : 연의 편지,조현아,,,,,,,다산코믹스,2025년 09월,18900,9.7,7,https://www.yes24.com/product/goods/152841851
아이의 어휘력을 위한 66일 필사 노트,김종원,,,,,,,데이스타,2025년 04월,16650,9.9,43,https://www.yes24.com/product/goods/145346626
해커스 토익 RC Reading(리딩) 기본서,David Cho,,,,,,,해커스어학연구소,2024년 08월,16920,9.7,518,https://www.yes24.com/product/goods/116020437
세계는 계속된다,크러스너호르커이 라슬로,,,,,,,알마,2023년 01월,19800,9.3,3,https://www.yes24.com/product/goods/116963671
요즘 당근 AI 개발,당근 팀,,,,,,,골든래빗,2025년 10월,19800,9.9,59,https://www.yes24.com/product/goods/154566057
나뭇잎을 찾으면,에이미 시쿠로,,,,,,,FIKAJUNIOR(피카주니어),2023년 05월,13500,10.0,26,https://www.yes24.com/product/goods/118856681
동물농장,조지 오웰,,,,,,,민음사,2001년 02월,7200,9.6,758,https://www.yes24.com/product/goods/17352
키메라의 땅 2,베르나르 베르베르,,,,,,,열린책들,2025년 08월,16020,9.6,65,https://www.yes24.com/product/goods/151037924
고양이 해결사 깜냥 8,홍민정,,,,,,,창비,2025년 06월,12600,9.9,73,https://www.yes24.com/product/goods/147691817
미움받을 용기 (200만 부 기념 스페셜 에디션),"기시미 이치로, 고가 후미타케",,,,,,,인플루엔셜,2022년 12월,14310,9.2,2251,https://www.yes24.com/product/goods/116599423
용랑전 왕패입국편 11,야마하라 요시토,,,,,,,학산문화사,2025년 10월,5400,10.0,2,https://www.yes24.com/product/goods/159167505
컵라면은 절대로 불어선 안 돼,김지완,,,,,,,문학동네,2025년 08월,12150,10.0,44,https://www.yes24.com/product/goods/150847610
인생을 바꾸는 최고의 ETF,잼투리,,,,,,,거인의정원,2025년 06월,22050,10.0,44,https://www.yes24.com/product/goods/148078819
귀멸 학원! 5,고토게 코요하루,,,,,,호카미 나츠키,학산문화사,2024년 05월,5400,9.8,56,https://www.yes24.com/product/goods/126347715
2026 퍼시픽 간호사 국시대비 문제집 9 보건의료법규,퍼시픽 학술편찬국,,,,,,,퍼시픽북스,2025년 09월,19800,0.0,0,https://www.yes24.com/product/goods/153729874
입시 읽어주는 엄마 합격 키워드 6,이춘희,,,,,,,브리드북스,2025년 09월,19800,10.0,5,https://www.yes24.com/product/goods/153288095
워런 버핏 삶의 원칙,구와바라 데루야,,,,,,,필름,2025년 07월,22500,9.8,35,https://www.yes24.com/product/goods/149676950
더 나은 어휘를 쓰고 싶은 당신을 위한 필사책,이주윤,,,,,,,빅피시,2024년 11월,19800,9.5,146,https://www.yes24.com/product/goods/135854080
알사탕,백희나,,,,,,,스토리보울,2024년 03월,13500,9.9,109,https://www.yes24.com/product/goods/125558302
귀멸 학원! 3,고토게 코요하루,,,,,,호카미 나츠키,학산문화사,2023년 04월,5400,9.9,77,https://www.yes24.com/product/goods/118500907
해커스 일본어 첫걸음 히라가나 가타카나 쓰기노트,해커스 일본어연구소,,,,,,,해커스어학연구소,2024년 06월,7200,9.8,119,https://www.yes24.com/product/goods/117527279
영어순해 4th Edition,김영로,,,,,,,넥서스,2011년 02월,18900,9.1,50,https://www.yes24.com/product/goods/4640754
오만과 편견,제인 오스틴,,,,,,,민음사,2003년 09월,11700,9.2,652,https://www.yes24.com/product/goods/402246
야구선수 임찬규 (리미티드 에디션),"임찬규, 윤세호",,,,,,,브레인스토어(BRAINstore),2025년 10월,19800,10.0,2,https://www.yes24.com/product/goods/154350120
내가 틀릴 수도 있습니다,비욘 나티코 린데블라드,,,,,,,다산초당,2024년 01월,16200,9.3,690,https://www.yes24.com/product/goods/108850617
책을 덮고 삶을 열다,정혜윤,,,,,,,녹스,2025년 10월,14400,9.0,2,https://www.yes24.com/product/goods/155060032
2026 심슨 보카,심우철,,,,,,,심슨북스,2025년 04월,22500,9.8,59,https://www.yes24.com/product/goods/145656423
나는 오래된 거리처럼 너를 사랑하고,진은영,,,,,,,문학과지성사,2022년 08월,10800,9.7,204,https://www.yes24.com/product/goods/112220926
